@relation crop_price

@attribute year {1,2,3,4,5}
@attribute month {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute week {1,2,3,4,5}
@attribute Price {25,26,27,28,29,30,31,32,33,34,35,36}

@data
1,1,1,26
1,1,2,26
1,1,3,26
1,1,4,26
1,1,5,26
1,2,1,26
1,2,2,26
1,2,3,26
1,2,4,26
1,3,1,25
1,3,2,25
1,3,3,25
1,3,4,25
1,4,1,25
1,4,2,25
1,4,3,25
1,4,4,25
1,4,5,25
1,5,1,27
1,5,2,27
1,5,3,27
1,5,4,27
1,6,1,28
1,6,2,28
1,6,3,28
1,6,4,28
1,7,1,28
1,7,2,28
1,7,3,28
1,7,4,28
1,7,5,28
1,8,1,28
1,8,2,28
1,8,3,28
1,8,4,28
1,9,1,28
1,9,2,28
1,9,3,28
1,9,4,28
1,10,1,26
1,10,2,26
1,10,3,26
1,10,4,26
1,10,5,26
1,11,1,26
1,11,2,26
1,11,3,26
1,11,4,27
1,12,1,27
1,12,2,28
1,12,3,28
1,12,4,28
2,1,1,28
2,1,2,29
2,1,3,29
2,1,4,31
2,1,4,31
2,2,1,31
2,2,2,31
2,2,3,30
2,2,4,30
2,3,1,28
2,3,2,28
2,3,3,28
2,3,4,28
2,4,1,28
2,4,2,28
2,4,3,28
2,4,4,29
2,4,5,29
2,5,1,30
2,5,2,30
2,5,3,30
2,5,4,30
2,6,1,30
2,6,2,30
2,6,3,31
2,6,4,31
2,7,1,31
2,7,2,31
2,7,3,31
2,7,4,31
2,7,5,31
2,8,1,31
2,8,2,31
2,8,3,31
2,8,4,31
2,9,1,31
2,9,2,31
2,9,3,31
2,9,4,31
2,10,1,27
2,10,2,27
2,10,3,27
2,10,4,27
2,10,5,29
2,11,1,29
2,11,2,29
2,11,3,29
2,11,4,30
2,12,1,30
2,12,2,30
2,12,3,31
2,12,4,31
3,1,1,31
3,1,2,31
3,1,3,32
3,1,4,33
3,1,5,33
3,2,1,32
3,2,2,32
3,2,3,31
3,2,4,31
3,3,1,28
3,3,2,28
3,3,3,28
3,3,4,28
3,4,1,28
3,4,2,28
3,4,3,28
3,4,4,28
3,4,5,29
3,5,1,30
3,5,2,30
3,5,3,30
3,5,4,30
3,6,1,33
3,6,2,33
3,6,3,34
3,6,4,34
3,7,1,34
3,7,2,34
3,7,3,34
3,7,4,34
3,7,5,34
3,8,1,34
3,8,2,34
3,8,3,34
3,8,4,34
3,9,1,34
3,9,2,34
3,9,3,34
3,9,4,34
3,10,1,28
3,10,2,28
3,10,3,28
3,10,4,28
3,10,5,30
3,11,1,31
3,11,2,31
3,11,3,32
3,11,4,32
3,12,1,33
3,12,2,33
3,12,3,33
3,12,4,33
4,1,1,33
4,1,2,33
4,1,3,33
4,1,4,33
4,1,5,34
4,2,1,35
4,2,2,35
4,2,3,33
4,2,4,32
4,3,1,29
4,3,2,29
4,3,3,29
4,3,4,29
4,4,1,29
4,4,2,29
4,4,3,29
4,4,4,29
4,4,5,29
4,5,1,30
4,5,2,30
4,5,3,30
4,5,4,30
4,6,1,32
4,6,2,33
4,6,3,33
4,6,4,34
4,7,1,35
4,7,2,35
4,7,3,35
4,7,4,35
4,7,5,35
4,8,1,35
4,8,2,35
4,8,3,35
4,8,4,35
4,9,1,35
4,9,2,35
4,9,3,35
4,9,4,35
4,10,1,28
4,10,2,28
4,10,3,28
4,10,4,28
4,10,5,28
4,11,1,28
4,11,2,28
4,11,3,28
4,11,4,30
4,12,1,31
4,12,2,32
4,12,3,32
4,12,4,32
5,1,1,33
5,1,2,33
5,1,3,33
5,1,4,33
5,1,5,34
5,2,1,34
5,2,2,34
5,2,3,30
5,2,4,28
5,3,1,28
5,3,2,28
5,3,3,28
5,3,4,28
5,4,1,28
5,4,2,28
5,4,3,28
5,4,4,28
5,4,5,28
5,5,1,30
5,5,2,30
5,5,3,31
5,5,4,31
5,6,1,32
5,6,2,33
5,6,3,33
5,6,4,35
5,7,1,36
5,7,2,36
5,7,3,36
5,7,4,36
5,7,5,36
5,8,1,36
5,8,2,36
5,8,3,36
5,8,4,36
5,9,1,36
5,9,2,36
5,9,3,36
5,9,4,36
5,10,1,30
5,10,2,30
5,10,3,30
5,10,4,30
5,10,5,30
5,11,1,30
5,11,2,30
5,11,3,30
5,11,4,31
5,12,1,31
5,12,2,33
5,12,3,33
5,12,4,33
